,iteration,loss
0,0,8.375528335571289
0,6400,8.30810832977295
0,12800,8.283626556396484
0,19200,8.201332092285156
0,25600,8.147253036499023
0,32000,8.071247100830078
0,38400,7.985150337219238
0,44800,7.850324630737305
0,51200,7.69112491607666
0,57600,7.658897876739502
0,64000,7.635915279388428
0,70400,7.631251335144043
0,76800,7.519759654998779
0,83200,7.407730579376221
0,89600,7.291892051696777
0,96000,7.234801769256592
0,102400,7.158385753631592
0,108800,7.111643314361572
0,115200,6.99900484085083
0,121600,6.841520309448242
0,128000,6.72961950302124
0,134400,6.686607837677002
0,140800,6.6278228759765625
0,147200,6.637973785400391
0,153600,6.477211952209473
0,160000,6.4630045890808105
0,166400,6.3379316329956055
0,172800,6.273069381713867
0,179200,6.116932392120361
0,185600,6.068661689758301
0,192000,6.106377124786377
0,198400,5.958625793457031
0,204800,5.844925880432129
0,211200,5.831332206726074
0,217600,5.7364606857299805
0,224000,5.785492420196533
