,epoch,total_reward
0,0,743.0741002657032
0,1,788.439275558616
0,2,819.5449527741408
0,3,847.7501300740049
0,4,791.2654840510323
0,5,805.8381791670466
0,6,800.4620679692268
0,7,772.3816262932005
0,8,770.6625249494052
0,9,773.5727732039162
0,10,795.1172476376485
0,11,759.4117769025235
0,12,759.3389327184151
0,13,766.2573539010884
0,14,786.286652976264
0,15,796.6824270216271
0,16,766.0348648915792
0,17,778.4936194462532
0,18,776.0837664233003
0,19,769.7779823182885
0,20,784.9073774042735
0,21,797.1194795315976
0,22,754.6182727558565
0,23,785.498619579458
0,24,774.3797264322557
0,25,804.1566354090794
0,26,769.5898456232601
0,27,770.2301750542786
0,28,771.6179277553715
0,29,752.9549414766432
0,30,775.7859363702638
0,31,764.866730968428
0,32,751.4948951604498
0,33,836.581294486266
0,34,782.2010633757043
0,35,776.3062359664001
0,36,782.807377781536
0,37,784.9035071453294
0,38,812.1132250772764
0,39,768.7197009772291
0,40,775.9170610581837
0,41,790.7140408437458
0,42,766.4789445974271
0,43,769.8924306194307
0,44,772.3666467596412
0,45,783.4187690308024
0,46,782.4207922415341
0,47,806.6233091907258
0,48,788.3414776267522
0,49,789.0920662309389
