,epoch,time_trainer,time_epoch,acc_time,time_trainer (s),time_epoch (s),acc_time (min)
0,0,,,,2071.0553822517395,3623.3203008174896,60.388671680291495
1,1,,,,2065.3386750221252,5085.376349925995,145.1449441790581
2,2,,,,2063.174441099167,5083.015199422836,229.8618641694387
3,3,,,,2064.365527153015,5083.032069683075,314.57906533082325
4,4,,,,2060.357129573822,5077.418388843536,399.2027051448822
5,5,,,,2061.9436309337616,5080.778151273727,483.88234099944435
6,6,,,,2065.370966911316,5081.750111579895,568.5781761924426
7,7,,,,2065.1949083805084,5081.6045887470245,653.271586004893
8,8,,,,2061.309810400009,5078.820919036865,737.918601322174
9,9,,,,2061.5845568180084,5088.979608058929,822.7349281231562
10,10,,,,2061.9900381565094,5067.265690803528,907.189356303215
11,11,,,,2062.4385039806366,5066.93079996109,991.6382029692332
12,12,,,,2060.2943711280823,5058.113477230072,1075.9400942564012
13,13,,,,2063.7782888412476,5059.1561627388,1160.259363635381
14,14,,,,2060.193672657013,5066.835472345352,1244.7066215078037
15,15,,,,2061.3950102329254,5069.254426717758,1329.194195286433
16,16,,,,2061.855214357376,5077.546221494675,1413.8199656446775
17,17,,,,2061.8442330360413,5078.567225456238,1498.4627527356147
18,18,,,,2055.8041911125183,5073.386984825134,1583.0192024827004
19,19,,,,2062.5281145572662,5077.603398799896,1667.6459257960319
20,20,,,,2060.2068803310394,5072.15953874588,1752.1819181084634
21,21,,,,2060.513541698456,5070.235733747482,1836.6858470042546
22,22,,,,2061.783558368683,5071.89981508255,1921.217510588964
23,23,,,,2060.8434348106384,5069.693882226944,2005.7124086260797
24,24,,,,2063.027675151825,5070.820764303207,2090.226088031133
25,25,,,,2060.4047985076904,5073.396168231964,2174.782690834999
26,26,,,,2062.746392250061,5085.601852655411,2259.5427217125894
27,27,,,,2065.753727197647,5094.611137151718,2344.4529073317844
28,28,,,,2067.1162753105164,5093.2660076618195,2429.3406741261483
29,29,,,,2061.410224199295,5098.103864192963,2514.3090718626977
30,30,,,,2105.4390065670013,5154.856055736542,2600.223339458307
31,31,,,,2095.5173621177673,5162.7855088710785,2686.269764606158
32,32,,,,2088.4410259723663,5141.877116918564,2771.9677165548005
33,33,,,,2083.3239138126373,5146.536134958267,2857.743318804105
